здесь	zʲ dʲ e sʲ
любезностью	ʎ ʉ bʲ e z̪ n̪ ə sʲ tʲ j ʊ
любезные	ʎ ʉ bʲ e z̪ n̪ ɨ j e
любезным	ʎ ʉ bʲ e z̪ n̪ ɨ m
любека	ʎ ʉ bʲ e k ə
любезный	ʎ ʉ bʲ e z̪ n̪ ɨ j
люби	ʎ ʉ bʲ i
любившая	ʎ ʉ bʲ i f ʂ ə j ə
любившего	ʎ ʉ bʲ i f ʂ ɨ v ə
любивших	ʎ ʉ bʲ i f ʂ ɨ x
любивший	ʎ ʉ bʲ i f ʂ ɨ j
любил	ʎ ʉ bʲ i ɫ
любила	ʎ ʉ bʲ i ɫ ə
любили	ʎ ʉ bʲ i ʎ ɪ
любимая	ʎ ʉ bʲ i m ə j ə
любим	ʎ ʉ bʲ i m
любим	ʎ ʉ bʲ ɪ m
любимейший	ʎ ʉ bʲ i mʲ e j ʂ ɨ j
любимого	ʎ ʉ bʲ i m ə v ə
любимое	ʎ ʉ bʲ i m ə j ə
любимой	ʎ ʉ bʲ i m ə j
любимом	ʎ ʉ bʲ i m ə m
любимца	ʎ ʉ bʲ i m t̪s̪ ə
любимому	ʎ ʉ bʲ i m ə m ʊ
любимцем	ʎ ʉ bʲ i m t̪s̪ ɨ m
любимый	ʎ ʉ bʲ i m ɨ j
любимым	ʎ ʉ bʲ i m ɨ m
любимые	ʎ ʉ bʲ i m ɨ j e
любите	ʎ ʉ bʲ i tʲ e
любимых	ʎ ʉ bʲ i m ɨ x
любит	ʎ ʉ bʲ ɪ t̪
любителем	ʎ ʉ bʲ i tʲ ɪ ʎ ɪ m
любителей	ʎ ʉ bʲ i tʲ ɪ ʎ e j
любителей	ʎ ʉ bʲ i tʲ ɪ ʎ ɪ j
любитель	ʎ ʉ bʲ i tʲ ɪ ʎ
любительскими	ʎ ʉ bʲ i tʲ ɪ ʎ s̪ c ɪ mʲ ɪ
любителя	ʎ ʉ bʲ i tʲ ɪ ʎ ə
любить	ʎ ʉ bʲ i tʲ
любить	ʎ ʉ bʲ ɪ tʲ
любишь	ʎ ʉ bʲ ɪ ʂ
любовалась	ʎ ʊ b ɐ v a ɫ ə sʲ
люблю	ʎ ʊ b ʎ u
любо	ʎ u b ə
любо	ʎ ʊ b o
любовался	ʎ ʊ b ɐ v a ɫ sʲ ə
любоваться	ʎ ʊ b ɐ v a t̪ s̪ː ə
любови	ʎ ʊ b o vʲ ɪ
любовник	ʎ ʊ b o v ɲ ɪ k
любовная	ʎ ʊ b o v n̪ ə j ə
любовница	ʎ ʊ b o v ɲ ɪ t̪s̪ ə
любовника	ʎ ʊ b o v ɲ ɪ k ə
любовники	ʎ ʊ b o v ɲ ɪ c ɪ
любовницей	ʎ ʊ b o v ɲ ɪ t̪s̪ ɨ j
любовницы	ʎ ʊ b o v ɲ ɪ t̪s̪ ɨ
любовно	ʎ ʊ b o v n̪ ə
любовной	ʎ ʊ b o v n̪ ə j
любовном	ʎ ʊ b o v n̪ ə m
любовные	ʎ ʊ b o v n̪ ɨ j e
любовный	ʎ ʊ b o v n̪ ɨ j
любовными	ʎ ʊ b o v n̪ ɨ mʲ ɪ
любовных	ʎ ʊ b o v n̪ ɨ x
любовь	ʎ ʊ b o fʲ
любовьжалость	ʎ ʊ b o fʲ ʐ a ɫ ə sʲ tʲ
любовьжалость	ʎ ʊ b o vʲ j ɪ ʐː a ɫ ə sʲ tʲ
любовьжалость	ʎ ʊ b o vʲ j ɪ ʑː a ɫ ə sʲ tʲ
любовьжалость	ʎ ʊ b o vʲ j ʐ a ɫ ə sʲ tʲ
любовьжалость	ʎ ʊ b o vʲ ʐ a ɫ ə sʲ tʲ
любовным	ʎ ʊ b o v n̪ ɨ m
любовьудачное	ʎ ʊ b o fʲ ʊ d̪ a tɕ n̪ ə j ə
любовьудачное	ʎ ʊ b o vʲ j ʊ d̪ a tɕ n̪ ə j ə
любовьудачное	ʎ ʊ b o vʲ ʊ d̪ a tɕ n̪ ə j ə
любовьстрасть	ʎ ʊ b o fʲ s̪ t̪ r a sʲ tʲ
любовьстрасть	ʎ ʊ b o fʲ s̪ː t̪ r a sʲ tʲ
любовьстрасть	ʎ ʊ b o vʲ j s̪ t̪ r a sʲ tʲ
любовьстрасть	ʎ ʊ b o vʲ j ɪ s̪ː t̪ r a sʲ tʲ
любовьстрасть	ʎ ʊ b o vʲ s̪ t̪ r a sʲ tʲ
любовьстрасть	ʎ ʊ b o vʲ s̪ː t̪ r a sʲ tʲ
любовью	ʎ ʊ b o vʲ j ʊ
любой	ʎ ʊ b o j
любого	ʎ ʊ b o v ə
любое	ʎ ʊ b o j e
любое	ʎ ʊ b o j ə
любом	ʎ u b ə m
любом	ʎ ʊ b o m
любому	ʎ ʊ b o m ʊ
любопытно	ʎ ʊ b ɐ p ɨ t̪ n̪ ə
любопытен	ʎ ʊ b ɐ p ɨ tʲ ɪ n̪
любопытную	ʎ ʊ b ɐ p ɨ t̪ n̪ ʊ j ʊ
любопытный	ʎ ʊ b ɐ p ɨ t̪ n̪ ɨ j
любопытным	ʎ ʊ b ɐ p ɨ t̪ n̪ ɨ m
любопытные	ʎ ʊ b ɐ p ɨ t̪ n̪ ɨ j e
любопытных	ʎ ʊ b ɐ p ɨ t̪ n̪ ɨ x
любопытстве	ʎ ʊ b ɐ p ɨ t̪ s̪ t̪ vʲ e
любопытства	ʎ ʊ b ɐ p ɨ t̪ s̪ t̪ v ə
любопытство	ʎ ʊ b ɐ p ɨ t̪ s̪ t̪ v ə
любочка	ʎ u b ə tɕ k ə
любопытством	ʎ ʊ b ɐ p ɨ t̪ s̪ t̪ v ə m
любочкин	ʎ u b ə tɕ c ɪ n̪
любочке	ʎ u b ə tɕ c e
любочки	ʎ u b ə tɕ c ɪ
любочкино	ʎ u b ə tɕ c ɪ n̪ o
любочкино	ʎ u b ə tɕ c ɪ n̪ ə
любочкина	ʎ u b ə tɕ c ɪ n̪ ə
любочкином	ʎ u b ə tɕ c ɪ n̪ ə m
любочкиной	ʎ u b ə tɕ c ɪ n̪ o j
любочкиной	ʎ u b ə tɕ c ɪ n̪ ə j
любочкиным	ʎ u b ə tɕ c ɪ n̪ ɨ m
любочкины	ʎ u b ə tɕ c ɪ n̪ ɨ
любочкиными	ʎ u b ə tɕ c ɪ n̪ ɨ mʲ ɪ
любочку	ʎ u b ə tɕ k ʊ
любочкой	ʎ u b ə tɕ k ə j
любу	ʎ u b ʊ
любу	ʎ ʊ b u
любующийся	ʎ ʊ b u j ʉ ɕː ɪ j sʲ ə
любуется	ʎ ʊ b u j ɪ t̪ s̪ ə
любую	ʎ ʊ b u j ʊ
любым	ʎ ʊ b ɨ m
любыми	ʎ ʊ b ɨ mʲ ɪ
любуясь	ʎ ʊ b u j ɪ sʲ
любя	ʎ ʉ bʲ a
любя	ʎ ʉ bʲ ə
любят	ʎ ʉ bʲ ə t̪
любящего	ʎ ʉ bʲ æ ɕː ɪ v ə
любящее	ʎ ʉ bʲ æ ɕː ɪ j e
любящею	ʎ ʉ bʲ æ ɕː ɪ j ʊ
любящей	ʎ ʉ bʲ æ ɕː ɪ j
любящий	ʎ ʉ bʲ æ ɕː ɪ j
любящие	ʎ ʉ bʲ æ ɕː ɪ j e
любящимися	ʎ ʉ bʲ æ ɕː ɪ mʲ ɪ sʲ ə
любящим	ʎ ʉ bʲ æ ɕː ɪ m
любящихся	ʎ ʉ bʲ æ ɕː ɪ x sʲ ə
людей	ʎ ʉ dʲ e j
люди	ʎ ʉ dʲ i
люди	ʎ ʉ dʲ ɪ
людом	ʎ u d̪ ə m
людских	ʎ ʊ t̪ s̪ c ɪ x
людовикефилиппе	ʎ u d̪ ə vʲ ɪ c e fʲ ɪ ʎ i pʲː e
людовикефилиппе	ʎ u d̪ ə vʲ ɪ c ɪ fʲ ɪ ʎ i pʲː e
людовикефилиппе	ʎ ʊ d̪ ɐ vʲ i c e fʲ ɪ ʎ i pʲː e
людовикефилиппе	ʎ ʊ d̪ ɐ vʲ i c ɪ fʲ ɪ ʎ i pʲː e
людской	ʎ ʊ t̪ s̪ k o j
людской	ʎ ʊ t̪ s̪ k ə j
людскую	ʎ ʊ t̪ s̪ k ʊ j ʊ
людям	ʎ ʉ dʲ ə m
людьми	ʎ ʉ dʲ mʲ i
людскому	ʎ ʊ t̪ s̪ k ə m ʊ
людях	ʎ ʉ dʲ ə x
люк	ʎ u k
люка	ʎ u k ə
люков	ʎ u k ə f
люстре	ʎ u s̪ t̪ rʲ e
люстра	ʎ u s̪ t̪ r ə
люстриновое	ʎ u s̪ t̪ rʲ i n̪ ə v ə j ə
люстриновое	ʎ u s̪ t̪ rʲ ɪ n̪ o v ə j ə
люстрами	ʎ u s̪ t̪ r ə mʲ ɪ
люстры	ʎ u s̪ t̪ r ɨ
лютнях	ʎ ʉ tʲ ɲ ə x
лютая	ʎ ʊ t̪ a j ə
люто	ʎ u t̪ ə
лютни	ʎ ʉ tʲ ɲ ɪ
лютую	ʎ ʊ t̪ u j ʊ
лютый	ʎ u t̪ ɨ j
люцифере	ʎ ʊ t̪s̪ ɨ fʲ e rʲ e
люцифер	ʎ ʊ t̪s̪ ɨ fʲ e r
люциферу	ʎ ʊ t̪s̪ ɨ fʲ e r ʊ
ля	ʎ a
люцифером	ʎ ʊ t̪s̪ ɨ fʲ e r ə m
люцифером	ʎ ʊ t̪s̪ ɨ fʲ ɪ r ə m
лягаев	ʎ ɪ ɡ a j ɪ f
лягу	ʎ a ɡ ʊ
лягнула	ʎ ɪ ɡ n̪ u ɫ ə
лягнул	ʎ ɪ ɡ n̪ u ɫ
ляжет	ʎ a ʐ ɨ t̪
лягушкаквакушка	ʎ ɪ ɡ u ʂ k ɐ k v a k ʊ ʂ k ə
лягушкаквакушка	ʎ ɪ ɡ u ʂ k ə k v a k ʊ ʂ k ə
ляжете	ʎ a ʐ ɨ tʲ e
лязга	ʎ a z̪ ɡ ə
лязгнул	ʎ a z̪ ɡ n̪ ʊ ɫ
лязгнула	ʎ a z̪ ɡ n̪ ʊ ɫ ə
лязгая	ʎ a z̪ ɡ ə j ə
ляп	ʎ a p
лязгнули	ʎ a z̪ ɡ n̪ ʊ ʎ ɪ
ляпну	ʎ a p n̪ ʊ
лё	ʎ ɵ
лямку	ʎ a m k ʊ
лёг	ʎ ɵ k
лёгкие	ʎ ɵ ç c ɪ j e
лёгкое	ʎ ɵ x k ə j ə
лёгким	ʎ ɵ ç c ɪ m
лёгкой	ʎ ɵ x k ə j
лёгком	ʎ ɵ x k ə m
лёгкостью	ʎ ɵ x k ə sʲ tʲ j ʊ
лёд	ʎ ɵ t̪
лёшка	ʎ ɵ ʂ k ə
лёша	ʎ ɵ ʂ ə
мда	mʲ ɪ d̪ a
лётчиков	ʎ ɵ tɕː ɪ k ə f
мм	mʲ ɪ ʎː ɪ mʲ e t̪ r
ммм	m m
ммм	mː m
ммм	ɛ mː m
магазин	m ə ɡ ɐ zʲ i n̪
ма	m a
ма	m ə
магазинам	m ə ɡ ɐ zʲ i n̪ ə m
магазина	m ə ɡ ɐ zʲ i n̪ ə
магазинах	m ə ɡ ɐ zʲ i n̪ ə x
магазине	m ə ɡ ɐ zʲ i ɲ e
магазинов	m ə ɡ ɐ zʲ i n̪ ə f
магазином	m ə ɡ ɐ zʲ i n̪ ə m
магазины	m ə ɡ ɐ zʲ i n̪ ɨ
магарыч	m ə ɡ ə r ɨ tɕ
маги	m a ɟ ɪ
магарычто	m ə ɡ ə r ɨ tɕ t̪ o
магарычто	m ə ɡ ə r ɨ tɕ t̪ ə
магического	m ɐ ɟ i tɕ ɪ s̪ k ə v ə
магнетизер	m ə ɟ ɲ ɪ tʲ i z̪ ɨ r
магистрали	m ə ɟ ɪ s̪ t̪ r a ʎ ɪ
магов	m a ɡ ə f
магнитной	m ɐ ɟ ɲ i t̪ n̪ ə j
мадагаскаре	m ə d̪ ə ɡ ɐ s̪ k a r ɛ
мадагаскаре	m ə d̪ ə ɡ ɐ s̪ k a rʲ e
мадам	m ɐ d̪ a m
мадам	m ə d̪ ə m
мадемуазель	m ə d̪ m ɐ z̪ ɛ ʎ
мадемуазель	m ə d̪ m ʊ ɐ z̪ ɛ ʎ
мадемуазель	m ə d̪ ɨ m ʊ ɐ z̪ ɛ ʎ
мадеры	m ɐ d̪ ɛ r ɨ
мадригал	m ə d̪ rʲ ɪ ɡ a ɫ
мае	m a j e
мадонн	m ɐ d̪ o n̪
мается	m a j ɪ t̪ s̪ ə
маешься	m a j ɪ ʂ sʲ ə
мажет	m a ʐ ɨ t̪
маевские	m a j ɪ f s̪ c ɪ j e
мазала	m a z̪ ə ɫ ə
мажордом	m ɐ ʐ o r d̪ ə m
мажордомы	m ɐ ʐ o r d̪ o m ɨ
мазать	m a z̪ ə tʲ
мазали	m a z̪ ə ʎ ɪ
мазки	m a s̪ c ɪ
мазки	m ɐ s̪ c i
мазини	m ɐ zʲ i ɲ ɪ
мазурика	m ɐ z̪ u rʲ ɪ k ə
мазурке	m ɐ z̪ u r c e
мазурку	m ɐ z̪ u r k ʊ
мазь	m a sʲ
мазурки	m ɐ z̪ u r c ɪ
маис	m ɐ i s̪
мазью	m a zʲ j ʊ
майн	m a j n̪
майские	m a j s̪ c ɪ j e
майна	m a j n̪ ə
мака	m a k ə
мака	m ɐ k a
маклашиных	m ɐ k ɫ a ʂ ɨ n̪ ɨ x
маклашиных	m ɐ k ɫ ə ʂ ɨ n̪ ɨ x
маклера	m a c ʎ ɪ r ə
макароны	m ə k ɐ r o n̪ ɨ
маковое	m a k ə v ə j ə
маковое	m ə k ɐ v o j ə
маковыми	m a k ə v ɨ mʲ ɪ
макрели	m ɐ c rʲ e ʎ ɪ
макрель	m ɐ c rʲ e ʎ
макрельный	m ɐ c rʲ e ʎ n̪ ɨ j
максимка	m a c sʲ ɪ m k a
максимка	m a c sʲ ɪ m k ə
максимки	m a c sʲ ɪ m c ɪ
мал	m a ɫ
мал	m ə ɫ
максимку	m a c sʲ ɪ m k ʊ
мала	m a ɫ ə
мала	m ɐ ɫ a
мала	m ə ɫ ə
малахитовые	m ə ɫ ɐ ç i t̪ ə v ɨ j e
маланья	m ɐ ɫ a ɲ j ə
маланья	m ə ɫ ɐ ɲ j a
малейшего	m ɐ ʎ e j ʂ ɨ v ə
малейшей	m ɐ ʎ e j ʂ ɨ j
малейший	m ɐ ʎ e j ʂ ɨ j
малейших	m ɐ ʎ e j ʂ ɨ x
маленькая	m a ʎ ɪ ɲ k ə j ə
маленькие	m a ʎ ɪ ɲ c ɪ j e
малейшую	m ɐ ʎ e j ʂ u j ʊ
маленькими	m a ʎ ɪ ɲ c ɪ mʲ ɪ
маленький	m a ʎ ɪ ɲ c ɪ j
маленьким	m a ʎ ɪ ɲ c ɪ m
маленького	m a ʎ ɪ ɲ k ə v ə
маленьких	m a ʎ ɪ ɲ c ɪ x
маленькое	m a ʎ ɪ ɲ k ə j ə
маленькой	m a ʎ ɪ ɲ k ə j
маленькую	m a ʎ ɪ ɲ k ʊ j ʊ
маленьком	m a ʎ ɪ ɲ k ə m
маленькому	m a ʎ ɪ ɲ k ə m ʊ
малиновом	m ɐ ʎ i n̪ ə v ə m
малиновые	m ɐ ʎ i n̪ ə v ɨ j e
малиновый	m ɐ ʎ i n̪ ə v ɨ j
малиной	m ɐ ʎ i n̪ ə j
малиновых	m ɐ ʎ i n̪ ə v ɨ x
малину	m ɐ ʎ i n̪ ʊ
малины	m ɐ ʎ i n̪ ɨ
мало	m a ɫ ə
малопомалу	m a ɫ ə p ɐ m a ɫ ʊ
малопомалу	m ə ɫ ɐ p o m a ɫ ʊ
малопомалу	m ə ɫ ɐ p o m ə ɫ ʊ
маловато	m ə ɫ ɐ v a t̪ ə
малого	m a ɫ ə v ə
маловажное	m ə ɫ ɐ v a ʐ n̪ ə j ə
малой	m a ɫ ə j
малолетних	m ə ɫ ɐ ʎ e tʲ ɲ ɪ x
малозанятые	m a ɫ ə z̪ a ɲ ɪ t̪ ɨ j e
малозанятые	m ə ɫ ɐ z̪ a ɲ ɪ t̪ ɨ j e
малолюднее	m ə ɫ ɐ ʎ ʉ dʲ ɲ e j e
малолюднее	m ə ɫ ɐ ʎ ʉ dʲ ɲ ɪ j e
малопонятным	m a ɫ ə p ɐ ɲ a t̪ n̪ ɨ m
малопонятным	m ə ɫ ɐ p ɐ ɲ a t̪ n̪ ɨ m
малообъяснимой	m ə ɫ ɐ ɐ b j ɪ sʲ ɲ i m ə j
малороссию	m a ɫ ə r ə sʲː ɪ j ʊ
малороссию	m a ɫ ə r ə sʲː ɪ ʊ
малороссию	m ə ɫ ɐ r o sʲː ɪ j ʊ
малороссию	m ə ɫ ə r ɐ sʲː i j ʊ
малороссию	m ə ɫ ə r ɐ sʲː ɪ j ʊ
малороссию	m ə ɫ ə r ə sʲː ɪ j ʊ
малороссию	m ə ɫ ə r ə sʲː ɪ ʊ
малорусская	m ə ɫ ɐ r u s̪ː k ə j ə
малую	m a ɫ ʊ j ʊ
малыми	m a ɫ ɨ mʲ ɪ
малый	m a ɫ ɨ j
малые	m a ɫ ɨ j e
малых	m a ɫ ɨ x
мальпосте	m ɐ ʎ p o sʲ tʲ e
мальчик	m a ʎ tɕ ɪ k
мальчикам	m a ʎ tɕ ɪ k ə m
мальчика	m a ʎ tɕ ɪ k ə
мальчики	m a ʎ tɕ ɪ c ɪ
мальчиков	m a ʎ tɕ ɪ k ə f
мальчиком	m a ʎ tɕ ɪ k ə m
мальчишеская	m ɐ ʎ tɕ i ʂ ɨ s̪ k ə j ə
мальчику	m a ʎ tɕ ɪ k ʊ
мальчишек	m ɐ ʎ tɕ i ʂ ɨ k
мальчишка	m ɐ ʎ tɕ i ʂ k ə
мальчишеского	m ɐ ʎ tɕ i ʂ ɨ s̪ k ə v ə
мальчишкам	m ɐ ʎ tɕ i ʂ k ə m
мальчишкамнегодяям	m ɐ ʎ tɕ i ʂ k a m ɲ ɪ ɡ ɐ dʲ æ j ə m
мальчишкамнегодяям	m ɐ ʎ tɕ i ʂ k ə m ɲ ɪ ɡ ɐ dʲ æ j ə m
мальчишками	m ɐ ʎ tɕ i ʂ k ə mʲ ɪ
мальчишкамираспространителями	m ɐ ʎ tɕ i ʂ k ə mʲ ɪ r ə s̪ p r ə s̪ t̪ r ɐ ɲ i tʲ ɪ ʎ ə mʲ ɪ
мальчишки	m ɐ ʎ tɕ i ʂ c ɪ
мальчишку	m ɐ ʎ tɕ i ʂ k ʊ
мальчуган	m ə ʎ tɕ ʊ ɡ a n̪
малютки	m ɐ ʎ u t̪ c ɪ
мальчонка	m ɐ ʎ tɕ ɵ n̪ k ə
мама	m a m ə
маманя	m ɐ m a ɲ ə
маменька	m a mʲ ɪ ɲ k ə
маман	m ɐ m a n̪
маменькой	m a mʲ ɪ ɲ k ə j
маменьки	m a mʲ ɪ ɲ c ɪ
мамзели	m ɐ m zʲ e ʎ ɪ
мамзель	m ɐ m zʲ e ʎ
мамка	m a m k ə
мамками	m a m k ə mʲ ɪ
мамину	m a mʲ ɪ n̪ ʊ
мамку	m a m k ʊ
мамочкой	m a m ə tɕ k ə j
маму	m a m ʊ
мамуроссию	m a m ʊ r o sʲː ɪ j ʊ
мамуроссию	m a m ʊ r ɐ sʲː i j ʊ
мамуроссию	m a m ʊ r ɐ sʲː ɪ j ʊ
мамуроссию	m ɐ m u r ə sʲː ɪ j ʊ
мандарина	m ə n̪ d̪ ɐ rʲ i n̪ ə
мамы	m a m ɨ
мамуся	m a m ʊ sʲ ə
мамуся	m ɐ m ʊ sʲ ə
мандат	m ɐ n̪ d̪ a t̪
мандатов	m ɐ n̪ d̪ a t̪ ə f
мандолина	m ə n̪ d̪ ɐ ʎ i n̪ ə
маневрах	m ɐ ɲ e v r ə x
мандрагоры	m ə n̪ d̪ r ɐ ɡ o r ɨ
мандаты	m ɐ n̪ d̪ a t̪ ɨ
маневрировали	m ə ɲ ɪ v rʲ i r ə v ə ʎ ɪ
манер	m ɐ ɲ e r
манерами	m ɐ ɲ e r ə mʲ ɪ
манежа	m ɐ ɲ e ʐ ə
манере	m ɐ ɲ e rʲ e
манеру	m ɐ ɲ e r ʊ
манерах	m ɐ ɲ e r ə x
манжетах	m ɐ n̪ ʐ ɛ t̪ ə x
манжет	m ɐ n̪ ʐ ɛ t̪
манеры	m ɐ ɲ e r ɨ
манившее	m ɐ ɲ i f ʂ ɨ j e
манифест	m ə ɲ ɪ fʲ e s̪ t̪
манил	m ɐ ɲ i ɫ
манил	m ə ɲ ɪ ɫ
манишка	m a ɲ ɪ ʂ k ə
манишка	m ɐ ɲ i ʂ k ə
манишке	m ɐ ɲ i ʂ c e
манишке	m ə ɲ ɪ ʂ c e
манию	m a ɲ ɪ j ʊ
мантилий	m ɐ ɲ tʲ i ʎ ɪ j
мантильи	m ɐ ɲ tʲ i ʎ j ɪ
мантилью	m ɐ ɲ tʲ i ʎ j ʊ
манишки	m ɐ ɲ i ʂ c ɪ
мануфактура	m ə n̪ ʊ f ɐ k t̪ u r ə
мануфактуру	m ə n̪ ʊ f ɐ k t̪ u r ʊ
мануфактуры	m ə n̪ ʊ f ɐ k t̪ u r ɨ
мантия	m a ɲ tʲ ɪ j ə
маньчжурии	m ɐ ɲ dʐː u rʲ ɪ ɪ
манят	m a ɲ ə t̪
манят	m ɐ ɲ a t̪
манфредами	m ə n̪ f rʲ e d̪ ə mʲ ɪ
манфредами	m ə n̪ f rʲ ɪ d̪ a mʲ ɪ
манфредами	m ə n̪ f rʲ ɪ d̪ ə mʲ ɪ
манёвренный	m ɐ ɲ ɵ v rʲ ɪ n̪ː ɨ j
манящие	m ɐ ɲ æ ɕː ɪ j e
маргарина	m ə r ɡ ɐ rʲ i n̪ ə
маргарита	m ə r ɡ ɐ rʲ i t̪ ə
маргариту	m ə r ɡ ɐ rʲ i t̪ ʊ
маргаритой	m ə r ɡ ɐ rʲ i t̪ ə j
марда	m ə r d̪ ə
мард	m a r t̪
марде	m a r dʲ e
марде	m ə r dʲ e
марево	m a rʲ ɪ v ə
марду	m a r d̪ ʊ
марду	m ə r d̪ ʊ
мареотиса	m ɐ rʲ ɪ o tʲ ɪ s̪ ə
мариано	m ə rʲ ɪ a n̪ ə
марией	m a rʲ ɪ j ɪ j
марией	m ɐ rʲ i j ɪ j
мариинскую	m ə rʲ ɪ i n̪ s̪ k ʊ j ʊ
марии	m a rʲ ɪ ɪ
марии	m ə rʲ ɪ ɪ
марина	m ɐ rʲ i n̪ ə
марина	m ə rʲ ɪ n̪ a
маринаро	m ə rʲ ɪ n̪ a r ə
маринуется	m ə rʲ ɪ n̪ u j ɪ t̪ s̪ ə
мариша	m ɐ rʲ i ʂ ə
маришины	m a rʲ ɪ ʂ ɨ n̪ ɨ
маришины	m ə rʲ ɪ ʂ ɨ n̪ ɨ
марише	m a rʲ ɪ ʂ ɛ
марише	m a rʲ ɪ ʂ ɨ
марише	m ɐ rʲ i ʂ ɨ
марише	m ə rʲ ɪ ʂ ɨ
марками	m a r k ə mʲ ɪ
марка	m a r k ə
мария	m a rʲ ɪ j ə
мария	m ɐ rʲ i j ə
марки	m a r c ɪ
марки	m ɐ r c i
марки	m ə r c ɪ
маркизы	m ɐ r c i z̪ ɨ
марком	m a r k ə m
маркович	m a r k ə vʲ ɪ tɕ
маркировкой	m ə r c ɪ r o f k ə j
марксизм	m ɐ r c sʲ i z̪ m
марлевой	m a r ʎ ɪ v o j
мародёр	m ə r ɐ dʲ ɵ r
мародёров	m ə r ɐ dʲ ɵ r ə f
мародёрыкрасногвардейцы	m ə r ɐ dʲ ɵ r ɨ k r ə s̪ n̪ ə ɡ v ɐ r dʲ e j t̪s̪ ɨ
марсельские	m a r sʲ ɪ ʎ s̪ c ɪ j e
мартинескампос	m ɐ r tʲ i ɲ e s̪ k ə m p o s̪
мартинескампос	m ɐ r tʲ i ɲ e s̪ k ə m p ə s̪
мартинескампос	m ɐ r tʲ i ɲ ɪ s̪ k a m p o s̪
мартинескампос	m ɐ r tʲ i ɲ ɪ s̪ k a m p ə s̪
мартинескампос	m ɐ r tʲ i ɲ ɪ s̪ k ɐ m p o s̪
мартинескампос	m ə r tʲ ɪ ɲ ɪ s̪ k a m p ə s̪
мартыновской	m ɐ r t̪ ɨ n̪ ə f s̪ k o j
марте	m a r tʲ e
марфа	m a r f ə
мартыновскую	m ɐ r t̪ ɨ n̪ ə f s̪ k ʊ j ʊ
маруся	m a r ʊ sʲ a
маруся	m a r ʊ sʲ ə
марфы	m a r f ɨ
марфе	m a r fʲ e
марш	m a r ʂ
маршевые	m a r ʂ ɨ v ɨ j e
маршировали	m ə r ʂ ɨ r ɐ v a ʎ ɪ
марьей	m a rʲ j ɪ j
марьи	m a rʲ j i
марья	m a rʲ j a
марья	m a rʲ j ə
маскарад	m ə s̪ k ɐ r a t̪
марьяж	m a rʲ j a ʂ
марьяж	m a rʲ j ɪ ʂ
маска	m a s̪ k ə
маскарада	m ə s̪ k ɐ r a d̪ ə
масках	m a s̪ k ə x
маски	m a s̪ c ɪ
маске	m a s̪ c e
масл	m a s̪ ɫ
масл	m ə s̪ ɫ
масла	m a s̪ ɫ ə
масла	m ɐ s̪ ɫ a
маску	m a s̪ k ʊ
маслами	m ɐ s̪ ɫ a mʲ ɪ
масле	m a sʲ ʎ e
масленице	m a sʲ ʎ ɪ ɲ ɪ t̪s̪ ɨ
маслинами	m ɐ sʲ ʎ i n̪ ə mʲ ɪ
масленицы	m a sʲ ʎ ɪ ɲ ɪ t̪s̪ ɨ
маслеными	m a sʲ ʎ ɪ n̪ ɨ mʲ ɪ
масличной	m a sʲ ʎ ɪ tɕ n̪ o j
масличной	m ɐ sʲ ʎ i tɕ n̪ ə j
масло	m a s̪ ɫ ə
масляные	m a sʲ ʎ ɪ n̪ ɨ j e
маслом	m a s̪ ɫ ə m
масляной	m a sʲ ʎ ɪ n̪ o j
маслёнщик	m ɐ sʲ ʎ ɵ ɲ ɕː ɪ k
масляный	m a sʲ ʎ ɪ n̪ ɨ j
масс	m a s̪
маслёнщика	m ɐ sʲ ʎ ɵ ɲ ɕː ɪ k ə
масса	m a s̪ː ə
массивности	m ɐ sʲː i v n̪ ə sʲ tʲ ɪ
массивную	m ɐ sʲː i v n̪ ʊ j ʊ
массами	m a s̪ː ə mʲ ɪ
массивный	m ɐ sʲː i v n̪ ɨ j
массивных	m ɐ sʲː i v n̪ ɨ x
массивным	m ɐ sʲː i v n̪ ɨ m
массовом	m a s̪ː ə v ə m
массой	m a s̪ː ə j
массовый	m a s̪ː ə v ɨ j
массы	m a s̪ː ɨ
массовые	m a s̪ː ə v ɨ j e
массу	m a s̪ː ʊ
мастей	m a sʲ tʲ ɪ j
мастей	m ɐ sʲ tʲ e j
мастер	m a sʲ tʲ ɪ r
мастер	m ə sʲ tʲ ɪ r
мастерами	m a sʲ tʲ ɪ r ə mʲ ɪ
мастерами	m ə sʲ tʲ ɪ r a mʲ ɪ
мастерицей	m ə sʲ tʲ ɪ rʲ i t̪s̪ ɨ j
мастера	m a sʲ tʲ ɪ r ə
мастера	m ə sʲ tʲ ɪ r a
мастеровому	m ə sʲ tʲ ɪ r ɐ v o m ʊ
мастеров	m a sʲ tʲ ɪ r ə f
мастеров	m ə sʲ tʲ ɪ r o f
мастеровой	m ə sʲ tʲ ɪ r ɐ v o j
мастеровым	m ə sʲ tʲ ɪ r ɐ v ɨ m
мастеровых	m ə sʲ tʲ ɪ r ɐ v ɨ x
мастерски	m ə sʲ tʲ ɪ r s̪ c i
мастером	m a sʲ tʲ ɪ r ə m
мастерские	m a sʲ tʲ ɪ r s̪ c ɪ j e
мастерские	m ə sʲ tʲ ɪ r s̪ c i j e
мастерские	m ə sʲ tʲ ɪ r s̪ c ɪ j e
